Unnamed: 0,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Transaction_count_log,Transaction_amount_log
2243,Meghalaya,2020,2,Others,3263,2488953.643832149,8.09040229659332,14.727372956761728
2244,Meghalaya,2020,3,Recharge & bill payments,342484,97662913.13408674,12.743980220264755,18.397032445500503
2245,Meghalaya,2020,3,Peer-to-peer payments,194448,1065012681.7126106,12.177920054110581,20.786252543748276
2246,Meghalaya,2020,3,Merchant payments,55595,67511647.1349487,10.925848548137349,18.02781069110508
2247,Meghalaya,2020,3,Financial Services,1587,4049966.8133478058,7.369600720526409,15.21421924481404
2248,Meghalaya,2020,3,Others,3465,2821792.5880408054,8.150467911624004,14.852882910480023
2249,Meghalaya,2020,4,Recharge & bill payments,350006,102794647.7641504,12.765705576175803,18.448243845078867
2250,Meghalaya,2020,4,Peer-to-peer payments,286252,1579858348.0670545,12.564627820725741,21.180601026844087
2251,Meghalaya,2020,4,Merchant payments,111471,115136797.58942305,11.621519746367024,18.561631523636184
2252,Meghalaya,2020,4,Financial Services,1809,2774557.112070617,7.500529485395295,14.836001693171523
2253,Meghalaya,2020,4,Others,4470,3678221.666272167,8.405143687607614,15.117939950484828
2254,Meghalaya,2021,1,Peer-to-peer payments,326993,1794745857.318895,12.697694042922434,21.308129265196385
2255,Meghalaya,2021,1,Recharge & bill payments,306634,106098525.65614726,12.633410132944139,18.479878707692635
2256,Meghalaya,2021,1,Merchant payments,108805,147747773.01896822,11.597312568230393,18.811017141507232
2257,Meghalaya,2021,1,Financial Services,1777,3981898.045775197,7.482681828154651,15.197269159505316
2258,Meghalaya,2021,1,Others,3437,2941223.950049905,8.142354276849835,14.894336362222875
2259,Meghalaya,2021,2,Recharge & bill payments,389959,129031455.7077258,12.873796884374343,18.675566775296698
2260,Meghalaya,2021,2,Peer-to-peer payments,366411,1885041503.797047,12.811510933165527,21.35721567553346
2261,Meghalaya,2021,2,Merchant payments,147406,173894963.00439677,11.900945963472019,18.973962014007935
2262,Meghalaya,2021,2,Financial Services,1766,2306496.854595862,7.476472381163905,14.651240418266038
2263,Meghalaya,2021,2,Others,4052,3342835.526834045,8.306965865368573,15.022329964920013
2264,Meghalaya,2021,3,Peer-to-peer payments,473274,2348008593.21644,13.067429780939426,21.576833398708136
2265,Meghalaya,2021,3,Recharge & bill payments,418429,144363692.75220004,12.944262500994387,18.78784631757379
2266,Meghalaya,2021,3,Merchant payments,199427,270311210.8907223,12.203203533561936,19.415084486119923
2267,Meghalaya,2021,3,Financial Services,1556,2379067.1150075165,7.349873704738337,14.682219000323695
2268,Meghalaya,2021,3,Others,5045,3937887.553600684,8.52615293278771,15.186154983583759
2269,Meghalaya,2021,4,Peer-to-peer payments,669693,3233210261.728197,13.414574677402122,21.89674136968018
2270,Meghalaya,2021,4,Recharge & bill payments,447310,165277548.45940137,13.011007145531424,18.92313673057435
2271,Meghalaya,2021,4,Merchant payments,314445,442464385.0377933,12.658564459066092,19.907870533382805
2272,Meghalaya,2021,4,Financial Services,1989,2464327.924231136,7.5953872788539725,14.71742968091314
2273,Meghalaya,2021,4,Others,6756,5348877.036531466,8.81818627792769,15.492397197126417
2274,Meghalaya,2022,1,Peer-to-peer payments,801009,3899172008.700116,13.593627461942429,22.084030062080508
2275,Meghalaya,2022,1,Recharge & bill payments,459530,192026788.60457045,13.037959507003597,19.07314544424163
2276,Meghalaya,2022,1,Merchant payments,405859,563004043.9315958,12.913761087624115,20.148797368905157
2277,Meghalaya,2022,1,Financial Services,2134,3019251.8598936894,7.665753431861699,14.920519630149252
2278,Meghalaya,2022,1,Others,6218,5116238.235718384,8.735203590618699,15.447930007390726
2279,Meghalaya,2022,2,Peer-to-peer payments,977816,4359000096.157877,13.793076792257276,22.195508532262284
2280,Meghalaya,2022,2,Merchant payments,591364,714995836.5962032,13.29018701204179,20.387787277698955
2281,Meghalaya,2022,2,Recharge & bill payments,467745,200896879.6910393,13.055678554608333,19.11830229801218
2282,Meghalaya,2022,2,Financial Services,1880,2406087.095158501,7.539027055823995,14.693512374013084
2283,Meghalaya,2022,2,Others,5844,4192522.344518611,8.67317077287059,15.248813102305993
2284,Meghalaya,2022,3,Peer-to-peer payments,2050942,7796315453.507147,14.533809757766315,22.776917081280942
2285,Meghalaya,2022,3,Merchant payments,1486098,1468318733.1353962,14.211664450941301,21.107383864235892
2286,Meghalaya,2022,3,Recharge & bill payments,810017,330230375.9276109,13.604810514082704,19.6153010777317
2287,Meghalaya,2022,3,Financial Services,3504,3106775.38571138,8.161660452056282,14.949095892781997
2288,Meghalaya,2022,3,Others,8604,5329459.165683068,9.05998249038762,15.48876032114053
2289,Meghalaya,2022,4,Peer-to-peer payments,1901671,7328913724.33394,14.458243531310499,22.715093146001205
2290,Meghalaya,2022,4,Merchant payments,1334431,1381013596.832624,14.104015541731643,21.046083556967837
2291,Meghalaya,2022,4,Recharge & bill payments,685678,278377945.43169147,13.438163408756003,19.444490264291186
2292,Meghalaya,2022,4,Financial Services,3544,3564357.119764914,8.173011311724972,15.086494264507197
2293,Meghalaya,2022,4,Others,7124,4671532.630633753,8.871224644409553,15.356997762234903
2294,Mizoram,2018,1,Recharge & bill payments,10155,2199565.258913744,9.225721474014485,14.603770289216536
2295,Mizoram,2018,1,Peer-to-peer payments,6845,41186717.27800167,8.83127373772255,17.53362636617393
2296,Mizoram,2018,1,Merchant payments,616,1066002.167062227,6.423246963533519,13.879425916597256
2297,Mizoram,2018,1,Financial Services,260,65022.49896840689,5.560681631015528,11.082488626961336
2298,Mizoram,2018,1,Others,685,709912.772844791,6.529418838262226,13.472897386322005
2299,Mizoram,2018,2,Recharge & bill payments,13550,3107406.501616686,9.514141826307847,14.94929901393903
2300,Mizoram,2018,2,Peer-to-peer payments,11427,77040044.25291511,9.343734255146714,18.159835899868764
2301,Mizoram,2018,2,Merchant payments,1310,2368711.975892641,7.177782416195197,14.677856895290425
2302,Mizoram,2018,2,Financial Services,167,60939.77304627103,5.117993812416755,11.017641328316667
2303,Mizoram,2018,2,Others,597,931303.0542636234,6.391917113392602,13.74434001807446
2304,Mizoram,2018,3,Peer-to-peer payments,18564,108783543.9098094,9.828979500361067,18.504870630117598
2305,Mizoram,2018,3,Recharge & bill payments,17610,4050433.5962071815,9.776222201490253,15.21433449414402
2306,Mizoram,2018,3,Merchant payments,2310,2952533.8004545765,7.745002803515839,14.898174275067575
2307,Mizoram,2018,3,Financial Services,240,43891.23943201654,5.480638923341991,10.68947002179179
2308,Mizoram,2018,3,Others,592,770335.5794872268,6.3835066348840055,13.554581516404875
2309,Mizoram,2018,4,Peer-to-peer payments,26212,177049162.13058332,10.173972600159388,18.991938004122304
2310,Mizoram,2018,4,Recharge & bill payments,24533,5523702.976434887,10.107774429000033,15.524559022412328
2311,Mizoram,2018,4,Merchant payments,3699,6911586.608122997,8.215817791832453,15.748709779824893
2312,Mizoram,2018,4,Financial Services,145,35654.18337878893,4.976733742420574,10.48162176478654
2313,Mizoram,2018,4,Others,653,906746.6310095722,6.481577129276431,13.717618341681474
2314,Mizoram,2019,1,Peer-to-peer payments,35126,204183867.4116538,10.46669687598168,19.134531456713212
2315,Mizoram,2019,1,Recharge & bill payments,30327,6760113.704148788,10.319793683822168,15.726550268018043
2316,Mizoram,2019,1,Merchant payments,3984,6470456.031897823,8.290041618704489,15.682757148057776
2317,Mizoram,2019,1,Financial Services,133,33512.39606736117,4.890349128221754,10.41967068122978
2318,Mizoram,2019,1,Others,736,712945.8536347556,6.601230118728877,13.47716075490649
2319,Mizoram,2019,2,Peer-to-peer payments,37364,233471780.00357005,10.52846295299274,19.26857177125373
2320,Mizoram,2019,2,Recharge & bill payments,31903,7823562.397702506,10.370455328238235,15.872650558368612
2321,Mizoram,2019,2,Merchant payments,5646,5889316.861228463,8.638702608813434,15.58865056608774
2322,Mizoram,2019,2,Financial Services,80,14455.380988399307,4.382026634673881,9.57882201096228
2323,Mizoram,2019,2,Others,678,817593.4915248882,6.519147287940395,13.614120537936204
2324,Mizoram,2019,3,Recharge & bill payments,49073,12966806.696277115,10.801064264366158,16.377903319061005
2325,Mizoram,2019,3,Peer-to-peer payments,42645,257538220.22775063,10.66066531275321,19.366678695122644
2326,Mizoram,2019,3,Merchant payments,5560,7397529.021326996,8.623353387244627,15.816656586375132
2327,Mizoram,2019,3,Financial Services,94,72985.31151294889,4.543294782270004,11.198013487733263
2328,Mizoram,2019,3,Others,722,818358.6944744462,6.582025138892826,13.615056021273567
2329,Mizoram,2019,4,Recharge & bill payments,60511,16857122.3073061,11.01058044567383,16.64028381431577
2330,Mizoram,2019,4,Peer-to-peer payments,57109,341664291.4936854,10.952717001437316,19.64933920911871
2331,Mizoram,2019,4,Merchant payments,6939,9451111.139352825,8.844912950899548,16.06164287344173
2332,Mizoram,2019,4,Financial Services,100,20966.3333050078,4.605170185988092,9.95067325429185
2333,Mizoram,2019,4,Others,580,695859.360839114,6.363028103540465,13.452902851138223
2334,Mizoram,2020,1,Recharge & bill payments,85067,24356294.58523286,11.351194460272282,17.00830087861335
2335,Mizoram,2020,1,Peer-to-peer payments,57916,356260523.23262954,10.966748963901312,19.691172828009478
2336,Mizoram,2020,1,Merchant payments,9961,10404414.592504771,9.206432747145165,16.157740754093968
2337,Mizoram,2020,1,Financial Services,119,283854.3188381147,4.77912349311153,12.556216423695787
2338,Mizoram,2020,1,Others,546,772492.6204317764,6.302618975744905,13.557377734869284
2339,Mizoram,2020,2,Recharge & bill payments,127592,37504550.77732091,11.75659295200259,17.439972837639722
2340,Mizoram,2020,2,Peer-to-peer payments,60021,404110075.0863959,11.002449779968526,19.81719786189924
2341,Mizoram,2020,2,Merchant payments,10056,14627463.664270936,9.215924750270084,16.498411392571775
2342,Mizoram,2020,2,Financial Services,244,434960.2799078573,5.497168225293202,12.983009995345109
2343,Mizoram,2020,2,Others,549,516383.63442262856,6.3080984415095305,13.154605245784401
2344,Mizoram,2020,3,Recharge & bill payments,132664,40941077.03285696,11.795574894893935,17.527644445444366
2345,Mizoram,2020,3,Peer-to-peer payments,99644,634560147.3506901,11.50935911309062,20.26844263550491
2346,Mizoram,2020,3,Merchant payments,20934,30693648.236451425,9.949129910414829,17.239566293315658
2347,Mizoram,2020,3,Financial Services,535,824864.513127287,6.282266746896006,13.62297442531779
2348,Mizoram,2020,3,Others,926,924438.3714747172,6.8308742346461795,13.73694166612138
2349,Mizoram,2020,4,Peer-to-peer payments,141038,887252744.067668,11.856784636596847,20.603640442264535
2350,Mizoram,2020,4,Recharge & bill payments,140297,45386403.17281592,11.85151688311069,17.63072312857006
2351,Mizoram,2020,4,Merchant payments,39676,52094800.565094605,10.588501749865884,17.76857570452845
2352,Mizoram,2020,4,Financial Services,607,855201.5881157237,6.408528791059498,13.65909249570215
2353,Mizoram,2020,4,Others,989,932966.3002634952,6.8966943316227125,13.746124359416692
2354,Mizoram,2021,1,Peer-to-peer payments,156386,982955112.189278,11.960082589020228,20.706074012968376
2355,Mizoram,2021,1,Recharge & bill payments,128055,45558278.22323953,11.760215138112516,17.63450290441649
2356,Mizoram,2021,1,Merchant payments,43511,70289687.94622748,10.680769058672864,18.06813565962349
2357,Mizoram,2021,1,Financial Services,648,1330632.9787811027,6.473890696352274,14.101165310877645
2358,Mizoram,2021,1,Others,975,971875.6084117102,6.882437470997847,13.78698310036802
