Unnamed: 0,State,Year,Quarter,brands,Count,Percentage,Count_log,Percentage_log
1357,Dadra and Nagar Haveli and Daman and Diu,2019,1,Realme,7762,0.0552329718498278,8.956995311928852,-2.896195187901286
1358,Dadra and Nagar Haveli and Daman and Diu,2019,1,Lenovo,3296,0.0234537329576181,8.100464891029363,-3.7527256088007794
1359,Dadra and Nagar Haveli and Daman and Diu,2019,1,Motorola,3175,0.0225927190960066,8.063062911326792,-3.7901275885033456
1360,Dadra and Nagar Haveli and Daman and Diu,2019,1,Apple,2928,0.0208351122875928,7.982074875081202,-3.8711156247489384
1361,Dadra and Nagar Haveli and Daman and Diu,2019,1,Huawei,2510,0.0178607007656619,7.828038032125829,-4.0251524677043085
1362,Dadra and Nagar Haveli and Daman and Diu,2019,1,OnePlus,2058,0.0146443514644351,7.629489916393995,-4.223700583436146
1363,Dadra and Nagar Haveli and Daman and Diu,2019,1,Others,14960,0.1064526228901602,9.613135251528469,-2.24005524830167
1364,Dadra and Nagar Haveli and Daman and Diu,2019,2,Xiaomi,38996,0.2459074284272922,10.571214355749163,-1.4028001210772278
1365,Dadra and Nagar Haveli and Daman and Diu,2019,2,Vivo,32183,0.2029448858620254,10.379193641807104,-1.5948208350192865
1366,Dadra and Nagar Haveli and Daman and Diu,2019,2,Samsung,28908,0.1822928490351872,10.271873652402872,-1.7021408244235188
1367,Dadra and Nagar Haveli and Daman and Diu,2019,2,Oppo,18106,0.1141758103165594,9.803998654035386,-2.170015822791005
1368,Dadra and Nagar Haveli and Daman and Diu,2019,2,Realme,8833,0.0557005927607516,9.086249986745132,-2.887764490081259
1369,Dadra and Nagar Haveli and Daman and Diu,2019,2,Lenovo,3513,0.0221528566023458,8.164225652265827,-3.8097888245605636
1370,Dadra and Nagar Haveli and Daman and Diu,2019,2,Motorola,3454,0.0217808046411905,8.147288258706624,-3.8267262181197688
1371,Dadra and Nagar Haveli and Daman and Diu,2019,2,Apple,3276,0.0206583427922814,8.09437844497296,-3.8796360318534346
1372,Dadra and Nagar Haveli and Daman and Diu,2019,2,Huawei,2827,0.0178269643082355,7.946971357693591,-4.027043119132805
1373,Dadra and Nagar Haveli and Daman and Diu,2019,2,OnePlus,2202,0.0138857359061672,7.697121317282625,-4.276893159543767
1374,Dadra and Nagar Haveli and Daman and Diu,2019,2,Others,16282,0.1026737293479631,9.697815482133922,-2.2761989946924674
1375,Dadra and Nagar Haveli and Daman and Diu,2019,3,Xiaomi,43202,0.2441770427685682,10.673642069456857,-1.409861731681469
1376,Dadra and Nagar Haveli and Daman and Diu,2019,3,Vivo,37115,0.2097734119336005,10.521776479551647,-1.5617273215866792
1377,Dadra and Nagar Haveli and Daman and Diu,2019,3,Samsung,31867,0.1801117962572557,10.36932627056772,-1.7141775305706057
1378,Dadra and Nagar Haveli and Daman and Diu,2019,3,Oppo,20623,0.116560880353136,9.934162236804047,-2.1493415643342795
1379,Dadra and Nagar Haveli and Daman and Diu,2019,3,Realme,10150,0.0573676446484182,9.225228984469933,-2.8582748166683944
1380,Dadra and Nagar Haveli and Daman and Diu,2019,3,Lenovo,3660,0.0206862639815971,8.205218426395412,-3.8782853747429162
1381,Dadra and Nagar Haveli and Daman and Diu,2019,3,Motorola,3640,0.0205732242877086,8.199738960630786,-3.8837648405075416
1382,Dadra and Nagar Haveli and Daman and Diu,2019,3,Apple,3605,0.0203754048234037,8.190077049719049,-3.893426751419279
1383,Dadra and Nagar Haveli and Daman and Diu,2019,3,Huawei,3096,0.0174985446139411,8.037866234709618,-4.045637566428714
1384,Dadra and Nagar Haveli and Daman and Diu,2019,3,OnePlus,2366,0.0133725957870106,7.768956044538332,-4.314547756599995
1385,Dadra and Nagar Haveli and Daman and Diu,2019,3,Others,17605,0.09950319054536,9.775938231589153,-2.3075655695491735
1386,Dadra and Nagar Haveli and Daman and Diu,2019,4,Xiaomi,48012,0.2429781677952206,10.779206258645235,-1.414783684141957
1387,Dadra and Nagar Haveli and Daman and Diu,2019,4,Vivo,42886,0.2170366096822842,10.666300711329177,-1.5276892314580164
1388,Dadra and Nagar Haveli and Daman and Diu,2019,4,Samsung,35031,0.1772841830382898,10.463988662743825,-1.7300012800433682
1389,Dadra and Nagar Haveli and Daman and Diu,2019,4,Oppo,23415,0.1184981629368718,10.061132121617643,-2.1328578211695506
1390,Dadra and Nagar Haveli and Daman and Diu,2019,4,Realme,12044,0.0609520339274689,9.396321889601625,-2.7976680531855678
1391,Dadra and Nagar Haveli and Daman and Diu,2019,4,Apple,3874,0.0196054615937408,8.262042843966942,-3.9319470988202525
1392,Dadra and Nagar Haveli and Daman and Diu,2019,4,Motorola,3849,0.0194789420945556,8.255568653283746,-3.938421289503447
1393,Dadra and Nagar Haveli and Daman and Diu,2019,4,Lenovo,3794,0.0192005991963481,8.24117615049496,-3.952813792292235
1394,Dadra and Nagar Haveli and Daman and Diu,2019,4,Huawei,3405,0.0172319557890262,8.133000218583613,-4.06098972420358
1395,Dadra and Nagar Haveli and Daman and Diu,2019,4,OnePlus,2529,0.0127987125375762,7.835579246669965,-4.358410696117234
1396,Dadra and Nagar Haveli and Daman and Diu,2019,4,Others,18759,0.0949351714086175,9.839428916235407,-2.3545610265517847
1397,Dadra and Nagar Haveli and Daman and Diu,2020,1,Xiaomi,52683,0.2411165421792618,10.872048101843964,-1.4224748848700937
1398,Dadra and Nagar Haveli and Daman and Diu,2020,1,Vivo,48874,0.2236837287639133,10.797000836720295,-1.4975221499937632
1399,Dadra and Nagar Haveli and Daman and Diu,2020,1,Samsung,38134,0.174529510837727,10.54886155162439,-1.7456614350896678
1400,Dadra and Nagar Haveli and Daman and Diu,2020,1,Oppo,26282,0.1202859548916227,10.176639573203584,-2.1178834135104747
1401,Dadra and Nagar Haveli and Daman and Diu,2020,1,Realme,13927,0.0637402973052138,9.541584681053092,-2.752938305660966
1402,Dadra and Nagar Haveli and Daman and Diu,2020,1,Apple,4178,0.0191216315172817,8.33758794211651,-3.956935044597551
1403,Dadra and Nagar Haveli and Daman and Diu,2020,1,Motorola,4028,0.0184351200937316,8.301025253838453,-3.9934977328756096
1404,Dadra and Nagar Haveli and Daman and Diu,2020,1,Lenovo,3944,0.0180506736965436,8.279950715722526,-4.014572270991534
1405,Dadra and Nagar Haveli and Daman and Diu,2020,1,Huawei,3732,0.0170804042179261,8.224699561967235,-4.069823424746828
1406,Dadra and Nagar Haveli and Daman and Diu,2020,1,OnePlus,2682,0.0122748242530755,7.894318063841624,-4.400204922872439
1407,Dadra and Nagar Haveli and Daman and Diu,2020,1,Others,20032,0.0916813122437024,9.905086273899824,-2.389436712814233
1408,Dadra and Nagar Haveli and Daman and Diu,2020,2,Xiaomi,58073,0.2372127411014076,10.969456118819169,-1.438797898708363
1409,Dadra and Nagar Haveli and Daman and Diu,2020,2,Vivo,56525,0.230889573308716,10.94243829714617,-1.4658157203813615
1410,Dadra and Nagar Haveli and Daman and Diu,2020,2,Samsung,42346,0.172972133946588,10.653629244615882,-1.7546247729116506
1411,Dadra and Nagar Haveli and Daman and Diu,2020,2,Oppo,29921,0.1222193175226906,10.306315853989789,-2.1019381635377443
1412,Dadra and Nagar Haveli and Daman and Diu,2020,2,Realme,16175,0.0660705678596812,9.691222119369101,-2.717031898158431
1413,Dadra and Nagar Haveli and Daman and Diu,2020,2,Apple,4502,0.0183894711903731,8.412277021466677,-3.9959769960608544
1414,Dadra and Nagar Haveli and Daman and Diu,2020,2,Motorola,4308,0.0175970328494285,8.36822903827628,-4.040024979251256
1415,Dadra and Nagar Haveli and Daman and Diu,2020,2,Lenovo,4157,0.0169802380582809,8.332548939252638,-4.0757050782749
1416,Dadra and Nagar Haveli and Daman and Diu,2020,2,Huawei,4069,0.0166207814912545,8.31115254800169,-4.097101469525847
1417,Dadra and Nagar Haveli and Daman and Diu,2020,2,OnePlus,2817,0.0115066948785608,7.943427767876373,-4.464826249651165
1418,Dadra and Nagar Haveli and Daman and Diu,2020,2,Others,21921,0.0895414477930183,9.995200360459327,-2.4130536570682053
1419,Dadra and Nagar Haveli and Daman and Diu,2020,3,Vivo,63527,0.2370888164033051,11.059220291360612,-1.4393204552927201
1420,Dadra and Nagar Haveli and Daman and Diu,2020,3,Xiaomi,62612,0.2336739492285759,11.044712232008113,-1.4538285146452183
1421,Dadra and Nagar Haveli and Daman and Diu,2020,3,Samsung,46194,0.1724004090376419,10.740605198506104,-1.7579355481472274
1422,Dadra and Nagar Haveli and Daman and Diu,2020,3,Oppo,33220,0.1239802049666723,10.410907383167286,-2.087633363486047
1423,Dadra and Nagar Haveli and Daman and Diu,2020,3,Realme,18327,0.0683981100669537,9.816130661317876,-2.6824100853354564
1424,Dadra and Nagar Haveli and Daman and Diu,2020,3,Apple,4852,0.0181081262642472,8.48714627006394,-4.011394476589395
1425,Dadra and Nagar Haveli and Daman and Diu,2020,3,Motorola,4473,0.0166936621558075,8.405814603432848,-4.092726143220484
1426,Dadra and Nagar Haveli and Daman and Diu,2020,3,Huawei,4325,0.0161413120554141,8.37216741936598,-4.1263733272873555
1427,Dadra and Nagar Haveli and Daman and Diu,2020,3,Lenovo,4294,0.0160256171019533,8.364973978438726,-4.13356676821461
1428,Dadra and Nagar Haveli and Daman and Diu,2020,3,OnePlus,2971,0.0110880550558694,7.9966538754626075,-4.50188687119073
1429,Dadra and Nagar Haveli and Daman and Diu,2020,3,Others,23151,0.086401737663559,10.049793255125712,-2.44874749152762
1430,Dadra and Nagar Haveli and Daman and Diu,2020,4,Vivo,71995,0.2428219215967999,11.184351951142371,-1.4154269372298838
1431,Dadra and Nagar Haveli and Daman and Diu,2020,4,Xiaomi,68314,0.2304067886931563,11.131870002591821,-1.4679088857804334
1432,Dadra and Nagar Haveli and Daman and Diu,2020,4,Samsung,50714,0.1710461967061617,10.833957285583553,-1.7658216027887017
1433,Dadra and Nagar Haveli and Daman and Diu,2020,4,Oppo,36932,0.1245628058672548,10.516833662892518,-2.0829452254797367
1434,Dadra and Nagar Haveli and Daman and Diu,2020,4,Realme,20993,0.0708043697490328,9.951944327804322,-2.647834560567933
1435,Dadra and Nagar Haveli and Daman and Diu,2020,4,Apple,5335,0.0179936794460577,8.582044163735853,-4.017734724636403
1436,Dadra and Nagar Haveli and Daman and Diu,2020,4,Motorola,4712,0.0158924494001544,8.457867725331422,-4.141911163040836
1437,Dadra and Nagar Haveli and Daman and Diu,2020,4,Huawei,4635,0.0156327468102113,8.441391477999955,-4.1583874103723035
1438,Dadra and Nagar Haveli and Daman and Diu,2020,4,Lenovo,4516,0.0152313882621174,8.415381925269553,-4.184396963102707
1439,Dadra and Nagar Haveli and Daman and Diu,2020,4,OnePlus,3173,0.0107017703622007,8.062432791583195,-4.537346096789068
1440,Dadra and Nagar Haveli and Daman and Diu,2020,4,Others,25174,0.0849058831068524,10.133566994851451,-2.466211893520805
1441,Dadra and Nagar Haveli and Daman and Diu,2021,1,Vivo,79699,0.2479775728384921,11.286012317648149,-1.3944169690092385
1442,Dadra and Nagar Haveli and Daman and Diu,2021,1,Xiaomi,73383,0.2283258036814397,11.20344758014799,-1.476981706509397
1443,Dadra and Nagar Haveli and Daman and Diu,2021,1,Samsung,54230,0.168732653797807,10.900989539835106,-1.7794397468222811
1444,Dadra and Nagar Haveli and Daman and Diu,2021,1,Oppo,40045,0.1245970702808995,10.597759100757782,-2.0826701858996053
1445,Dadra and Nagar Haveli and Daman and Diu,2021,1,Realme,23882,0.0743070853402033,10.08088031609333,-2.599548970564058
1446,Dadra and Nagar Haveli and Daman and Diu,2021,1,Apple,5784,0.0179964903110181,8.6628507638386,-4.017578522818791
1447,Dadra and Nagar Haveli and Daman and Diu,2021,1,Huawei,4871,0.0151557580057001,8.491054533806542,-4.1893747528508465
1448,Dadra and Nagar Haveli and Daman and Diu,2021,1,Motorola,4859,0.0151184208888722,8.488587934405903,-4.19184135225149
