State,Year,Quarter,District,Count,Amount,Count_log,Amount_log
Gujarat,2021,3,rajkot district,3586356,7726777654.637352,15.092647203177954,22.7679577503625
Gujarat,2021,3,aravallis district,1072139,2034322149.7296264,13.885166276386316,21.433428504396232
Gujarat,2021,3,chhotaudepur district,319271,611013838.0899625,12.67379555090136,20.23063016514448
Gujarat,2021,3,botad district,775124,1847036989.381681,13.56077829553685,21.33684856469914
Gujarat,2021,3,bharuch district,5280607,8322570348.519125,15.479551611196019,22.84223698018868
Gujarat,2021,3,bhavnagar district,2001668,4470254984.23804,14.509491390939463,22.22071128739867
Gujarat,2021,3,junagadh district,833587,1786079501.4768844,13.633493354850039,21.303288832114877
Gujarat,2021,3,mahesana district,4085272,8371811502.22802,15.222898869126873,22.848136126014868
Gujarat,2021,3,the dangs district,142421,220242754.8697721,11.866542738997211,19.210240927210098
Gujarat,2021,3,kheda district,1748901,3172710752.9721527,14.3744981486251,21.877852186543258
Gujarat,2021,3,surat district,21214459,40838608900.13971,16.870193535468523,24.43289376747224
Gujarat,2021,3,porbandar district,275154,690810567.5533752,12.525086219907223,20.353376201678238
Gujarat,2021,3,gandhinagar district,6318239,10546315790.961111,15.658951088055408,23.079042421752124
Gujarat,2021,3,panch mahals district,1549556,2762752529.1230626,14.253478996247427,21.739493312869563
Gujarat,2021,3,narmada district,446278,730606768.6161022,13.008697355205634,20.409385936744766
Gujarat,2021,3,gir somnath district,912616,2047248878.9171567,13.724070479646974,21.439762718510153
Gujarat,2021,3,valsad district,4434194,7173200940.388832,15.304856421020393,22.69361782713607
Gujarat,2021,3,mahisagar district,442046,893324969.8932046,12.999169228042868,20.610460980697397
Gujarat,2021,3,sabar kantha district,2129127,3945628260.671784,14.571222594515458,22.095874033487668
Gujarat,2021,3,tapi district,1010949,1621047025.5570326,13.826400051626354,21.206338089493247
Gujarat,2021,3,vadodara district,10555446,16336422910.897554,16.172152493227365,23.516662986310898
Gujarat,2021,3,banas kantha district,4877149,11302732744.859072,15.400071385794087,23.148310369255373
Gujarat,2021,3,amreli district,880856,2030095872.749864,13.688649440934517,21.4313488568405
Gujarat,2021,3,ahmadabad district,58611265,101760598132.07088,17.886437471567245,25.34588881439114
Gujarat,2021,3,dohad district,924227,1953033067.4008596,13.736712991447314,21.39264942029048
Gujarat,2021,3,navsari district,1703437,2845342547.406067,14.34815853271657,21.768949300582985
Gujarat,2021,3,patan district,1805160,3735782880.347761,14.40615978847987,22.041223240085625
Gujarat,2021,3,kachchh district,4378602,9001941152.864368,15.292240053322272,22.920706074677852
Gujarat,2021,3,surendranagar district,1292951,2671069363.220156,14.072437760670867,21.70574473974497
Gujarat,2021,3,morbi district,1407999,3472418252.020602,14.1576801054726,21.968117090780922
Gujarat,2021,4,anand district,2754485,4901381738.859557,14.828741050245664,22.312782989834343
Gujarat,2021,4,jamnagar district,1892202,3573928284.546256,14.453251788222644,21.99693118760271
Gujarat,2021,4,devbhumi dwarka district,508824,1236361450.5936007,13.13985745970691,20.935438588986248
Gujarat,2021,4,rajkot district,4398724,9808446763.924477,15.296825056830357,23.006509766073947
Gujarat,2021,4,aravallis district,1389157,2813603551.6262503,14.144207646306487,21.75773190142999
Gujarat,2021,4,chhotaudepur district,399985,776880205.8316607,12.899182325386976,20.47079672119687
Gujarat,2021,4,botad district,981895,2347736165.7165422,13.79723965697617,21.57671736706068
Gujarat,2021,4,bharuch district,6671068,10647007113.465914,15.713290525014006,23.088544667397933
Gujarat,2021,4,bhavnagar district,2503192,5912161062.19894,14.733077275422467,22.50027726348897
Gujarat,2021,4,junagadh district,1067289,2439626368.4466143,13.880632346468358,21.615110736840467
Gujarat,2021,4,mahesana district,5022604,10719744656.891111,15.429459082276157,23.095353172985522
Gujarat,2021,4,the dangs district,175673,266936831.3250107,12.076379591336421,19.40252260157574
Gujarat,2021,4,kheda district,2115182,3982871287.806916,14.56465141876971,22.105268825235093
Gujarat,2021,4,surat district,26358525,51244301661.33562,17.087302310039057,24.659870261687296
Gujarat,2021,4,porbandar district,334768,922030259.8507378,12.721193033579032,20.642088600777036
Gujarat,2021,4,gandhinagar district,7658806,13063535935.917791,15.851366654893425,23.293090669625848
Gujarat,2021,4,panch mahals district,1950412,3527540820.947919,14.483551190274303,21.983866813827806
Gujarat,2021,4,narmada district,547754,905726392.7486008,13.213581560032601,20.624247823638935
Gujarat,2021,4,gir somnath district,1171670,2747773641.937811,13.97394063950496,21.734056835984287
Gujarat,2021,4,valsad district,5798487,9554286592.77728,15.573107579417254,22.980255748614923
Gujarat,2021,4,mahisagar district,559971,1204459443.933492,13.23564027565612,20.909296708994464
Gujarat,2021,4,sabar kantha district,2653416,5247467974.524677,14.791358424446019,22.381011506643713
Gujarat,2021,4,tapi district,1283905,2146758330.3483467,14.06541677295589,21.487224787955757
Gujarat,2021,4,vadodara district,12675332,20051547592.844345,16.355168300392368,23.721572174395778
Gujarat,2021,4,banas kantha district,6396725,14662295530.137417,15.671296698607177,23.408545105740103
Gujarat,2021,4,amreli district,1108699,2596504411.041504,13.918697813802789,21.67743192008853
Gujarat,2021,4,ahmadabad district,70075885,124559345468.31937,18.0650892842611,25.548048109708184
Gujarat,2021,4,dohad district,1212646,2565405628.4936957,14.008315306915922,21.665382442829994
Gujarat,2021,4,navsari district,2220944,3782948232.168639,14.613442888691063,22.053769498170773
Gujarat,2021,4,patan district,2293931,4836124445.336521,14.645777497753524,22.29937950248129
Gujarat,2021,4,kachchh district,5470337,11281039516.16741,15.514850781275559,23.146389234458848
Gujarat,2021,4,surendranagar district,1571774,3524100667.2871084,14.267715475732674,21.98289111081186
Gujarat,2021,4,morbi district,1763058,4532702026.275787,14.382560359307384,22.23458407241313
