State,Year,Quarter,Pincode,RegisteredUsers,Pincode_log,RegisteredUsers_log
Andhra Pradesh,2019,4,516360,81619,13.154559475620646,11.309817356985697
Andhra Pradesh,2019,4,530026,81191,13.180681340928842,11.304559682568422
Andhra Pradesh,2019,4,520010,79453,13.161603321141932,11.282920930849217
Andhra Pradesh,2019,4,524002,77681,13.169250780089788,11.260365976208814
Andhra Pradesh,2020,1,517501,146823,13.156766736486944,11.896983058639508
Andhra Pradesh,2020,1,517507,129214,13.156778330600226,11.769225223593338
Andhra Pradesh,2020,1,530016,114042,13.18066247375188,11.644322080578892
Andhra Pradesh,2020,1,515001,111359,13.151924121391561,11.620514495642869
Andhra Pradesh,2020,1,518002,102905,13.157734382238027,11.541561511506561
Andhra Pradesh,2020,1,516001,102893,13.153863982446317,11.541444892297301
Andhra Pradesh,2020,1,516360,89774,13.154559475620646,11.405050680073737
Andhra Pradesh,2020,1,530026,87449,13.180681340928842,11.378811045275592
Andhra Pradesh,2020,1,524002,85878,13.169250780089788,11.360682963412271
Andhra Pradesh,2020,1,520010,85779,13.161603321141932,11.359529500273846
Andhra Pradesh,2020,2,517501,156221,13.156766736486944,11.959026950372836
Andhra Pradesh,2020,2,517507,138735,13.156778330600226,11.84032091765647
Andhra Pradesh,2020,2,530016,120621,13.18066247375188,11.7004086774697
Andhra Pradesh,2020,2,515001,119223,13.151924121391561,11.68875096802048
Andhra Pradesh,2020,2,518002,112673,13.157734382238027,11.632245097234906
Andhra Pradesh,2020,2,516001,111898,13.153863982446317,11.625343021039308
Andhra Pradesh,2020,2,516360,98803,13.154559475620646,11.50088324764744
Andhra Pradesh,2020,2,524002,93834,13.169250780089788,11.449282542664271
Andhra Pradesh,2020,2,530026,93224,13.180681340928842,11.4427604782531
Andhra Pradesh,2020,2,520010,91299,13.161603321141932,11.421895113620558
Andhra Pradesh,2020,3,517501,166768,13.156766736486944,12.024358903979104
Andhra Pradesh,2020,3,517507,149001,13.156778330600226,11.91170829631447
Andhra Pradesh,2020,3,515001,128227,13.151924121391561,11.761557409718202
Andhra Pradesh,2020,3,530016,128059,13.18066247375188,11.760246374202698
Andhra Pradesh,2020,3,518002,121529,13.157734382238027,11.707908196410026
Andhra Pradesh,2020,3,516001,120997,13.153863982446317,11.703521030883087
Andhra Pradesh,2020,3,516360,108073,13.154559475620646,11.59056220369724
Andhra Pradesh,2020,3,524002,102103,13.169250780089788,11.53373738667897
Andhra Pradesh,2020,3,530026,99754,13.180681340928842,11.510462434198743
Andhra Pradesh,2020,3,520010,97752,13.161603321141932,11.490188937996358
Andhra Pradesh,2020,4,517501,178328,13.156766736486944,12.091379830220768
Andhra Pradesh,2020,4,517507,160062,13.156778330600226,11.983316519157228
Andhra Pradesh,2020,4,515001,137945,13.151924121391561,11.834610333972256
Andhra Pradesh,2020,4,530016,136049,13.18066247375188,11.820770393945496
Andhra Pradesh,2020,4,518002,130871,13.157734382238027,11.78196738419096
Andhra Pradesh,2020,4,516001,130500,13.153863982446317,11.779128505744886
Andhra Pradesh,2020,4,516360,117397,13.154559475620646,11.67331663238694
Andhra Pradesh,2020,4,524002,110746,13.169250780089788,11.614994569873645
Andhra Pradesh,2020,4,530026,106320,13.180681340928842,11.574208693387128
Andhra Pradesh,2020,4,520010,104956,13.161603321141932,11.561296493695624
Andhra Pradesh,2021,1,517501,190712,13.156766736486944,12.158519715670627
Andhra Pradesh,2021,1,517507,171417,13.156778330600226,12.051854463424688
Andhra Pradesh,2021,1,515001,147941,13.151924121391561,11.904568824616106
Andhra Pradesh,2021,1,530016,145206,13.18066247375188,11.88590870283314
Andhra Pradesh,2021,1,518002,140153,13.157734382238027,11.850489962000655
Andhra Pradesh,2021,1,516001,139840,13.153863982446317,11.848254190889362
Andhra Pradesh,2021,1,516360,126260,13.154559475620646,11.746098551921616
Andhra Pradesh,2021,1,524002,118730,13.169250780089788,11.684607286659839
Andhra Pradesh,2021,1,530026,113581,13.180681340928842,11.640271517759631
Andhra Pradesh,2021,1,520010,112324,13.161603321141932,11.62914283116114
Andhra Pradesh,2021,2,517501,203005,13.156766736486944,12.220985888262469
Andhra Pradesh,2021,2,517507,182425,13.156778330600226,12.114094408633822
Andhra Pradesh,2021,2,515001,157649,13.151924121391561,11.96812632178785
Andhra Pradesh,2021,2,530016,154509,13.18066247375188,11.948007626050515
Andhra Pradesh,2021,2,518002,149368,13.157734382238027,11.914168338645172
Andhra Pradesh,2021,2,516001,148851,13.153863982446317,11.910701084594013
Andhra Pradesh,2021,2,516360,134622,13.154559475620646,11.810226130087832
Andhra Pradesh,2021,2,524002,126459,13.169250780089788,11.74767342394256
Andhra Pradesh,2021,2,530026,120973,13.180681340928842,11.703322659183465
Andhra Pradesh,2021,2,520010,119561,13.161603321141932,11.691581980364234
Andhra Pradesh,2021,3,517501,216777,13.156766736486944,12.286624454358954
Andhra Pradesh,2021,3,517507,194860,13.156778330600226,12.180036630979332
Andhra Pradesh,2021,3,515001,168654,13.151924121391561,12.035604557967206
Andhra Pradesh,2021,3,530016,164812,13.18066247375188,12.012560709340567
Andhra Pradesh,2021,3,518002,159802,13.157734382238027,11.981690827880547
Andhra Pradesh,2021,3,516001,158891,13.153863982446317,11.97597371152489
Andhra Pradesh,2021,3,516360,144068,13.154559475620646,11.878040689318535
Andhra Pradesh,2021,3,524002,135136,13.169250780089788,11.81403695773367
Andhra Pradesh,2021,3,530026,129270,13.180681340928842,11.769658519277993
Andhra Pradesh,2021,3,520010,127618,13.161603321141932,11.756796705774699
Andhra Pradesh,2021,4,517501,230688,13.156766736486944,12.348821427204305
Andhra Pradesh,2021,4,517507,207174,13.156778330600226,12.24131429886838
Andhra Pradesh,2021,4,515001,179763,13.151924121391561,12.099394595638511
Andhra Pradesh,2021,4,530016,175300,13.18066247375188,12.074254070909326
Andhra Pradesh,2021,4,518002,170267,13.157734382238027,12.045123072183886
Andhra Pradesh,2021,4,516001,169158,13.153863982446317,12.038588468390497
Andhra Pradesh,2021,4,516360,153381,13.154559475620646,11.940680301052454
Andhra Pradesh,2021,4,524002,143764,13.169250780089788,11.87592834522172
Andhra Pradesh,2021,4,530026,137812,13.180681340928842,11.833645716498808
Andhra Pradesh,2021,4,520010,135719,13.161603321141932,11.818341850760206
Andhra Pradesh,2022,1,517501,243791,13.156766736486944,12.404066579843402
Andhra Pradesh,2022,1,517507,218905,13.156778330600226,12.29639312473022
Andhra Pradesh,2022,1,515001,190203,13.151924121391561,12.155847201839698
Andhra Pradesh,2022,1,530016,185094,13.18066247375188,12.128619083125356
Andhra Pradesh,2022,1,518002,180102,13.157734382238027,12.101278636044087
Andhra Pradesh,2022,1,516001,179007,13.153863982446317,12.095180190203518
Andhra Pradesh,2022,1,516360,162263,13.154559475620646,11.996973754623204
Andhra Pradesh,2022,1,524002,151939,13.169250780089788,11.931234403490206
Andhra Pradesh,2022,1,530026,145842,13.180681340928842,11.890279122917317
